id;Vrsta;Breed;link1;link2;link3;Skupina;Opis;Temperament;MinVisCM;MaxVisCM;MinKG;MaxKG;MinAge;MaxAge;NjegaDlake;Linjanje;RazEnergije;Trening;Vladanje ;Slika
143;Japanski čin;Japanese Chin;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Chin_posing.jpg/640px-Chin_posing.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Japanese_Chin_red.jpg/640px-Japanese_Chin_red.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Japanese_Chin_on_a_table_by_Frances_C._Fairman.jpg/640px-Japanese_Chin_on_a_table_by_Frances_C._Fairman.jpg;toy Group;"Japanski čin su nenadmašni plemići japanskih pasmina. Oni su sitni ""kućni"" pratitelji, s nepogrešivo istočnjačkim izgledom i držanjem. 
Glava je velika, njuška kratka, a okrugle, tamne oči prenose, kako obožavatelji čina vole reći, ""izgled zaprepaštenja"". 
Bujna griva oko vrata i ramena, pernati rep koji se nadvija nad leđima i hlače ili ""culottes"" na stražnjim nogama projiciraju elegantan, egzotičan izgled toliko tipičan za azijsku kraljevsku liniju mazilica za krilo. 
Japanski čin je šarmantni igrački pratitelj svilenkaste, bujne dlake i nepogrešivo aristokratskog držanja. Često opisan kao izrazito ""mačja"" pasmina, ovaj vedri i zabavni psić je pedantan, graciozan i općenito tih.";Šarmantan, plemenit, pun ljubavi;20,32;27,94;3,17;4,99;10;12;Tjedno četkanje;Seasonal;Redovito vježbanje;Nezavisan;Rezerviran s nepoznatima;
144;Japanski špic;Japanese Spitz;https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/JapaneseSpitzPhoto1_-_hiro.jpg/640px-JapaneseSpitzPhoto1_-_hiro.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Japanese_Spitz_Siberia.jpg/640px-Japanese_Spitz_Siberia.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Japanese_Spitz.jpg/640px-Japanese_Spitz.jpg;Foundation Stock Service;"Japanski špic, kao pasmina za pratnju, uživa u društvu svojih obitelji i pravi su mali komičari. Vole ugoditi svojoj obitelji i stoga su željni učiti; uvijek imaju osmijeh na licu. 
Karakteristične značajke uključuju njihovu čisto bijelu dlaku koja ima grivastu crtu oko vrata. 
Također, kao i kod drugih pasmina špica, repovi im se uvijaju preko leđa u prekrasnu perjanicu. 
Šiljasta njuška uspoređuje ih s lisicom s crnim nosom, crnim rubovima očiju i ušima šiljastih trokuta, koje stoje uspravno i kreću se poput radarskih tornjeva, čujući sve što se događa oko njih i čineći ovu pasminu vrlo budnom. 
Japanski špic su mali komičari koji vas žele usrećiti i nasmijati. Vrlo su odani i pametni te su divni pratitelji. Lovci na avanture, pratit će vas na planinarenju, vožnji automobilom ili izletu na plažu ili jezero. Vole svoje ljude i jednostavno uživaju biti s njima.";Odani, razigrani, pametni;30,48;38,1;4,54;11,34;12;14;Tjedno četkanje;Occasional;Redovito vježbanje;Lak za treniranje;Prijateljsko;
145;Jindo;Jindo;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Korean_Jindo_Dog.jpg/640px-Korean_Jindo_Dog.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Korea_Jindo_Dog_2.jpg/640px-Korea_Jindo_Dog_2.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Jindo_dog.jpg/640px-Jindo_dog.jpg;Foundation Stock Service;"Korejski pas Jindo je skladno građen, srednje velik pas koji se koristi za lov i čuvanje. 
S uspravnim ušima i zavijenim ili srpastim repom, trebao bi biti živopisan izraz okretnosti, snage, budnosti i dostojanstva. 
Jindo ima vrlo snažan lovački instinkt i odvažan je, hrabar, oprezan i oprezan, nije lako napadan i nagao. Prije svega je izuzetno vjeran svom gospodaru. Općenito ne voli druge životinje, posebno mužjake. Također ima dobar osjećaj za smjer. Kao pas za jednu osobu, lako prihvaća novog gospodara, ali nikada ne zaboravlja svoju privrženost bivšem gospodaru koji ga je odgojio od štenećeg doba. 
Održava se čistim i jede štedljivo. 
Odan, oprezan i inteligentan, Jindo se razvio kao pasmina na otoku uz obalu Južne Koreje. Srednje veličine i prirodnog izgleda, cijenjeni su kao neovisni lovci, pronicljivi čuvari i odani pratitelji.";Oprezni, inteligentni, hrabri;45,72;55,88;13,61;22,68;14;14;Tjedno četkanje;Seasonal;Energetičan;Nezavisan;Rezerviran s nepoznatima;
146;Kai Ken;Kai Ken;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Image_of_Kai_%28dog%29.jpg/640px-Image_of_Kai_%28dog%29.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Takaikennel.jpg/640px-Takaikennel.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Kaikendog2.jpg/640px-Kaikendog2.jpg;Foundation Stock Service;"Kai Ken su atletski građeni i inteligentni psi s jakom željom za lovom. Kai misle neovisno i mogu stvoriti snažnu vezu sa svojom obitelji. 
Izvrsni su plivači i penjači te su poznati po penjanju po drveću i plivanju u rijekama u potrazi za divljači. 
Kai imaju prepoznatljivu tigrastu dlaku koja dolazi u tri boje: crno-tigrasta (Kuro-Tora), tigrasta (Chu-Tora) i crveno-tigrasta (Aka-Tora). Crvena tigrasta je najrjeđa boja dlake. Izrazita boja i tigrasti uzorak omogućili su psu da se stopi s planinskim šumama u kojima je lovio, kamuflirajući ga od plijena i grabežljivaca u davna vremena. Količina tigraste dlake varira od psa do psa, kao i tigrasti uzorak. Većina štenaca rađa se potpuno crna, a njihova tigrasta boja će se pojavljivati ​​kako stare i nastavit će se mijenjati otprilike prvih pet godina života. 
U domu, Kai Kenu je potrebna osnovna pseća njega. 
Mogu se držati u stanu pod uvjetom da redovito vježbaju u obliku šetnji na uzici. 
Budući da je prirodno čista pasmina, kupanje treba ograničiti samo na vrijeme kada je prljav. Preporučuje se četkanje, posebno tijekom linjanja dva puta godišnje. 
Kai Ken je pas srednje veličine i jedna je od šest izvornih japanskih pasmina ili Nihon Ken. 
Tradicionalno korišten za lov na širok raspon divljači u planinama Japana, Kai Ken se smatra rijetkom pasminom čak i u Japanu. Kai je vrlo inteligentan i brzo uči. Čini se da uči brzo kao i druge japanske pasmine, ako ne i brže. Nisu toliko neovisni i spremniji su ugoditi svojim suputnicima. Japanci opisuju Kai Kena kao pouzdanog čuvara i izuzetno odanog svom gospodaru.";Odan, okretan, oštar;39,37;49,53;9,07;18,14;12;15;Povremeno kupanje i četkanje;Seasonal;Energetičan;Nezavisan;Rezerviran s nepoznatima;
147;Karelijski medvjeđi pas;Karelian Bear Dog;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Karelian-Bear-Dog-Canis-lupus-familiaris.jpg/640px-Karelian-Bear-Dog-Canis-lupus-familiaris.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Karjalankarhukoira%2C_Karelian_Bear_Dog%2C_head_with_tracking_collar.jpg/640px-Karjalankarhukoira%2C_Karelian_Bear_Dog%2C_head_with_tracking_collar.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Karelski_pies_na_nied%C5%BAwiedzie_sylwetka.JPG/640px-Karelski_pies_na_nied%C5%BAwiedzie_sylwetka.JPG;Foundation Stock Service;"Karelijski medvjeđi pas je srednje velik špic s gustom dlakom. Uzgojen za samostalni lov na veliku, agresivnu divljač, njegova građa odražava njegove dužnosti. Tihi je lovac i laje tek kada je divljač zaustavljena ili u drveću. Radeći s iskusnim lovcem, komunicira vrstu životinje koju je locirao zvukom svog laveža. 
Iako može pokazati samokontrolu u blizini ljudi, njegov borbeni duh izlazi na vidjelo u blizini drugih pasa i može ga biti teško kontrolirati. Njegov duh lako prelazi u agresiju, jer karelijski medvjeđi psi vole izazove. 
Karelijski medvjeđi pas je strastven lovac i vrlo neovisan, ali surađuje kako bi označio divljač lajanjem. 
Njihova osjetila, posebno njuh, su oštra, stoga je pasmina pogodna za lov na krupnu divljač. 
Imaju vrlo dobar osjećaj za smjer, uravnoteženi su, hrabri i uporni. 
Ova pasmina ima visoko razvijen duh za divljač i vrlo je samouvjerena. Mogu biti teritorijalni prema drugim mužjacima, ali nikada nisu agresivni prema ljudima, iako mogu biti pomalo rezervirani.";Odani, neovisni, hrabri;48,26;59,69;19,96;22,23;11;13;Povremeno kupanje i četkanje;Seasonal;Miran;Nezavisan;Rezerviran s nepoznatima;
148;Keeshond;Keeshond;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Keeshond_-_Spitz_Loup.jpg/640px-Keeshond_-_Spitz_Loup.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Keeshond_in_Riga.JPG/640px-Keeshond_in_Riga.JPG;https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Keeshond-Samurai-2442a.jpg/640px-Keeshond-Samurai-2442a.jpg;Non-Sporting Group;"Ovi četvrtasti, snažni pratitelji potječu iz iste drevne loze kao i drugi tipovi špiceva, poput pomeranaca i samojeda. 
Tipično ""špicasti"", keeshondi imaju lisičje lice, šiljaste uši, bogatu dlaku i pernati rep nošen visoko preko leđa. 
Jedinstvena karakteristika pasmine - i jedno od najšarmantnijih obilježja u cijelom psećem svijetu - su ""naočale"". Ove sjene i oznake oko očiju daju dojam da keeshond nosi dizajnerske naočale. Naočale skreću pozornost na budan, inteligentan izraz. 
Ljubazni keeshond je srednje velik špic s obilnom dlakom, poznat po prepoznatljivim ""naočalama"" na svom lisičjem licu. 
Nekada zaštitno lice na kanalskim teglenicama svoje rodne Nizozemske, keeshond je bio i ostao simbol nizozemskog patriotizma.";Prijateljski, živahan, društven;43,18;45,72;15,86;20,41;12;15;Četkanje 2-3 puta tjedno;Seasonal;Redovito vježbanje;Lak za treniranje;Prijateljsko;
149;Plavi kerski terijer;Kerry Blue Terrier;https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Kerry_blue_terrier_052004.JPG/640px-Kerry_blue_terrier_052004.JPG;https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Terrier_Kerry_Blue.jpg/640px-Terrier_Kerry_Blue.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/KerryBlueTerrierAlofok_%281%29.jpg/640px-KerryBlueTerrierAlofok_%281%29.jpg;Terrier group;"Naravno, počinjemo s upečatljivom dlakom koja privlači poglede gdje god se Kerry pojavi. Dolazi u nijansama plave - od tamnoplave do svijetloplave - i toliko je mekana da je ugodna na dodir koliko i na oko. 
Gusta dlaka prekriva mišićavo, dobro razvijeno tijelo, visine ispod 50 cm u ramenima i težine do 18 kg. 
Sportska brada i tamne, oštre oči naglašavaju plemenitost glave dugog terijera. 
Među najvećim terijerima, Kerry Blue Terrier poznat je po svojoj upečatljivoj plavoj dlaci. 
Nazvan po irskoj županiji u kojoj je rođen, ovaj nekadašnji farmerski pas danas je budan, prilagodljiv i živahan pas čuvar i obiteljski pratitelj.";Pametan, budan, orijentiran na ljude;44,45;49,53;14,97;18,14;12;15;Četkanje 2-3 puta tjedno;Seasonal;Redovito vježbanje;Može biti tvrdoglav;Na oprezu / Responzivan;
150;Kishu Ken;Kishu Ken;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Kishu_Ken_%28sesame%29.jpg/640px-Kishu_Ken_%28sesame%29.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Kishu_puppy.jpg/640px-Kishu_puppy.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Sesame_Kishu_Ken.png/640px-Sesame_Kishu_Ken.png;Foundation Stock Service;"Kishu Ken je odličan pas za aktivnu osobu i ima sposobnost da bude opušten kućni pas kada nije vani. 
Srednje su veličine, dobro uravnoteženi, a mišići su im dobro razvijeni. 
Imaju šiljaste uši i uvijen ili srpast rep. 
Kishui su vrlo ljubazni i privrženi svojim obiteljima te ih je potrebno uključiti u aktivnosti. 
Izvrsni su s djecom ako se odgajaju s njima, ali često su povučeni prema strancima. 
Kishu Ken ima snažan nagon za plijenom i možda će voljeti juriti male životinje. Ako se odgaja s malom životinjom poput mačke, mogao bi se dobro slagati s njom, ali većina Kishua ne može a da se ne prepusti svojim instinktima. 
Kishu Ken je pas značajne izdržljivosti, koji pokazuje plemenitost, dostojanstvo i naivan osjećaj. Njegova je narav vjerna, poslušna i vrlo budna.";Vjeran, plemenit, poslušan;43,18;55,88;13,61;21,22;11;13;Povremeno kupanje i četkanje;Seasonal;Energetičan;Nezavisan;Rezerviran s nepoznatima;
151;Komondor;Komondor;https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Komondor_dog_breed.jpg/640px-Komondor_dog_breed.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Komondor_delvin.jpg/640px-Komondor_delvin.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Komondor_-_GCH_Quintessential_Chauncey3_%2816416544029%29.jpg/640px-Komondor_-_GCH_Quintessential_Chauncey3_%2816416544029%29.jpg;Working group;"Naš savjet dana o mađarskom jeziku: Množina od Komondora je Komondorok. 
Pogledajmo sada psa. 
Ono što vidimo je veliki i snažan čuvar prekriven gustim bijelim vrpcama. 
Veliki mužjak može narasti više od 73 cm i težiti preko 45 kg, s teškim kostima, dubokim prsima i puno mišića. 
Unatoč svojoj snazi, Komondoroci su okretni i laganih nogu te se kreću dugim koracima. 
S njihovim jedinstvenim izgledom, nemoguće je zamijeniti Koma s bilo čime drugim. 
Snažan, veliki mađarski čuvar stada prekriven gustim bijelim vrpcama od glave do repa, Komondor je među najprepoznatljivijim pasminama na svijetu. 
Neovisni i zaštitnički Kom zahtijeva čvrstu, iskusnu ruku u dresuri.";Odan, dostojanstven, hrabar;64,77;69,85;36,29;45,36;10;12;Povremeno kupanje i četkanje;Seasonal;Redovito vježbanje;Nezavisan;Rezerviran s nepoznatima;
152;Kromhofrlander;Kromfohrlander;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Kromfohrl%C3%A4nder_in_Germany.jpg/640px-Kromfohrl%C3%A4nder_in_Germany.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Kromfohrl%C3%A4nder_Glatthaar_Holzem.JPG/640px-Kromfohrl%C3%A4nder_Glatthaar_Holzem.JPG;https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Kromfohrl%C3%A4nder.jpg/640px-Kromfohrl%C3%A4nder.jpg;Foundation Stock Service;"Kromfohrlander je vrlo inteligentan, smiješan i okretan pas koji voli penjanje i skakanje te se lako ističe u agilnosti i treningu psećih trikova, ali može biti izbirljiv s hranom. 
Dolaze u dva tipa dlake: oštrodlaka (s bradom) i glatkodlaka (glatko lice bez brade i prekrasna, duga, meka dlaka). 
Nadimak pasmine u Sjevernoj Americi je ""Kromi"" (kromee). 
Kromfohrlander je uzgojen samo da bude pratilac, zadržava vrlo malo lovačkog instinkta (unatoč svom terijerskom nasljeđu) i često je dugovječan (17-18 godina). 
Dobar je s djecom i obitelji te je sklon biti pas za jednu osobu. Vrlo je vezan za svog vlasnika, neće pobjeći i prvi upozorava na strance. 
Kromfohrlander je srednje velika pasmina za pratnju koja je osjetljiva, puna ljubavi i odana svojim vlasnicima. 
Ima prepoznatljiv 'osmijeh' i kihnut će kako bi vas pozdravio. Izgovor pasmine je ""krome-for-lahn-dair"".";Inteligentan, Aktivan, Osjetljiv;38,1;45,72;9,07;15,88;13;15;Četkanje 2-3 puta tjedno;Regularly;Redovito vježbanje;Ugodan/Agreeable;Rezerviran s nepoznatima;
153;Kuvas;Kuvasz;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/2-kuvasz.jpg/640px-2-kuvasz.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Kuvasz_prince_familia.JPG/640px-Kuvasz_prince_familia.JPG;https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Kuvasz.jpg/640px-Kuvasz.jpg;Working group;"Impozantan, impresivan, veličanstven, masivan, moćan - odaberite pridjev koji vam se najviše sviđa, svi se odnose na kuvasa (izgovara se KU-vaz; množina je Kuvaszok, izgovara se KU-va-sok). 
Ovaj snježnobijeli čuvar stoke s bujnom dlakom može narasti do 76 centimetara u ramenima i težiti između 32 i 50 kilograma. 
Unatoč svojoj veličini i snazi, kuvasi su brzi, okretni zaštitnici na nogama kada se suoče s prijetnjom. 
Ljubitelji pasmine kažu da se elegantno proporcionalna glava „smatra najljepšim dijelom kuvasa“. 
Snježnobijeli kuvas je veličanstveni mađarski čuvar stada i pratitelj kraljeva. 
Radni pas impresivne veličine i snage, impozantni i gusto dlakavi kuvas je prekrasna, pametna, duboko odana, ali izazovna pasmina.";Odan, neustrašiv, slatki;66,04;76,2;31,75;52,16;10;12;Tjedno četkanje;Regularly;Redovito vježbanje;Nezavisan;Rezerviran s nepoznatima;
154;Labrador retriver;Labrador Retriever;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Retriever_Du_Labrador.jpg/640px-Retriever_Du_Labrador.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Labrador_Retriever_snow.jpg/640px-Labrador_Retriever_snow.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Heimtier_002_2015_04_16.jpg/640px-Heimtier_002_2015_04_16.jpg;Sporting group;"Čvrst, dobro uravnotežen labrador retriver može, ovisno o spolu, narasti od 54 do 61 centimetara u ramenima i težiti između 24 i 36 kilograma. 
Gusta, tvrda dlaka dolazi u žutoj, crnoj i raskošnoj čokoladnoj boji. 
Glava je široka, oči sjaje od ljubaznosti, a debeli, suženi ""vidrin rep"" čini se da vječno signalizira urođenu revnost pasmine. 
Labradori su poznati po svojoj prijateljskoj prirodi. Druželjubivi su sustanari koji se vežu za cijelu obitelj i dobro se socijaliziraju sa susjedskim psima i ljudima. 
Ali nemojte zamijeniti njegovu opuštenu osobnost za nisku energiju: labrador je entuzijastični sportaš kojem je potrebno puno vježbe, poput plivanja i maratonskih igara donošenja, kako bi ostao u fizičkoj i mentalnoj formi. 
Slatkog lica, ljupki labrador retriver među najpopularnijim je pasminama. 
Labradori su prijateljski raspoloženi, društveni i živahni pratitelji koji imaju više nego dovoljno naklonosti da budu za obitelj koja traži srednjeg do velikog psa.";Prijateljski, aktivan, društven;54,61;62,23;24,95;36,29;10;12;Tjedno četkanje;Regularly;Treba puno aktivnosti;Željan udovoljiti;Otvoreno;
155;Lagotto romanjolo;Lagotto Romagnolo;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Lagotto_Romagnolo_Kira.jpg/640px-Lagotto_Romagnolo_Kira.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Lagotto-romagnolo.jpg/640px-Lagotto-romagnolo.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Lagotto_Romagnolo_aka_Romagna_Waterdog.JPG/640px-Lagotto_Romagnolo_aka_Romagna_Waterdog.JPG;Sporting group;"Talijani imaju riječ za to: „carino“. Na engleskom kažemo „slatko“. Na bilo kojem jeziku, ova pasmina je apsolutno simpatična. 
Lagotto Romagnolo (množina: Lagotti Romagnoli) poznat je po vunastim kovrčama koje prekrivaju tijelo od glave do repa, okrunjenim raskošnom bradom, obrvama i brkovima. 
Lagotti su visoki ispod 50 centimetara i teški ne više od 15 kilograma. Ali nemojte se zavarati njihovim izgledom poput medvjedića - to su robusni radnici istinske snage i izdržljivosti. 
Zaštitni znak pasmine, kovrče, osjećaju se i ponašaju više kao ljudska kosa nego krzno. 
Lagotto Romagnolo, preslatki talijanski „pas s tartufima“, ima kovrčavu dlaku i raskošan izgled lica. Unatoč izgledu plišanih igračaka, Lagotti su izdržljivi radnici izvrsnog nosa koji iskorjenjuju tartufe, slatku i skupu deliciju.";Privrženi, Oštroumni, Nezahtjevni;40,64;48,26;10,89;15,88;15;17;Povremeno kupanje i četkanje;Infrequent;Redovito vježbanje;Željan udovoljiti;Na oprezu / Responzivan;
156;Lejklandski terijer;Lakeland Terrier;https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Lakeland_Terrier.jpg/640px-Lakeland_Terrier.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Lakeland_Terrier_Fond_Blanc.jpg/640px-Lakeland_Terrier_Fond_Blanc.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Hughie_-_Lakeland_Terrier.jpg/640px-Hughie_-_Lakeland_Terrier.jpg;Terrier group;"Kvadratni i snažni Lakeland terijeri, visoki manje od 38 centimetara u ramenima i teški oko 7 kilograma, mali su psi. 
Ali nemojte im to reći. Svojim samouvjerenim hodom, Lakeland terijeri personificiraju klišej starih ljubitelja pasa ""veliki pas u malom pakiranju"". 
Dolaze u nekoliko boja; neki imaju sportski trag sedla na leđima. 
S presavijenim ušima u obliku slova V, ravnim prednjim dijelom, pravokutnom glavom i nestašnim sjajem u očima, Lakeland terijeri su oličenje britanskog terijera s dugim nogama. 
Hrabar, živahan ""veliki pas u malom pakiranju"", Lakeland terijer, nazvan po Lake Districtu u svojoj rodnoj Engleskoj, nekoć je bio farmerski pas uzgojen za rad u čoporima na lisicama koje kradu ovce. 
Dlaka Lakeland terijera je tvrda, žilava i slabo se linja.";Prijateljski, samouvjeren, odvažan;35,56;38,1;7;8;12;15;Tjedno četkanje;Infrequent;Redovito vježbanje;Ugodan/Agreeable;Na oprezu / Responzivan;
157;Lancashire Heeler;Lancashire Heeler;https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Grupp_1%2C_LANCASHIRE_HEELER%2C_NO_UCH_NO_V-14_NO_V-15_SE_UCH_St%C3%A5hlskyttens_Longed_For_Antony_%2824284065606%29.jpg/640px-Grupp_1%2C_LANCASHIRE_HEELER%2C_NO_UCH_NO_V-14_NO_V-15_SE_UCH_St%C3%A5hlskyttens_Longed_For_Antony_%2824284065606%29.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Radar_72411_018.JPG/640px-Radar_72411_018.JPG;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/LANCASHIRE_HEELER%2C_DK_CH%28U%29_SE_UCH_SE_V-14_Mirox_Earl_Angus_Le_Beau_%2824208350271%29.jpg/640px-LANCASHIRE_HEELER%2C_DK_CH%28U%29_SE_UCH_SE_V-14_Mirox_Earl_Angus_Le_Beau_%2824208350271%29.jpg;Miscellaneous Class;"Mali, snažan, čvrsto građen, oprezan i energičan radnik, Lancashire Heeler radi sa stokom, ali ima terijerske instinkte kada lovi zečeve i štakore. 
Imaju jedinstvenu karakteristiku nazvanu Heelerov osmijeh; kada su zadovoljni, poznati su po tome što povlače usne u naporu koji oponaša ljudski osmijeh. 
Godine 2003. pasmina je stavljena na popis ugroženih pasmina Kinološkog kluba u Velikoj Britaniji zbog malog broja pasa koji čine genski bazen i rizika od nekoliko nasljednih bolesti. 
Lancashire Heeler je pas srednje do visoke energije. 
Inteligentan, oprezan i prijateljski nastrojen, brzo uči nove zadatke. 
Čvrst mali pas s kratkom, otpornom na vremenske uvjete dlakom crne i žutosmeđe ili jetre i žutosmeđe boje, privržen je svojim vlasnicima, uvijek sretan, pričljiv i uvijek spreman za šetnju. N
jihova mala veličina je ono što im daje šarm.";Privrženi, svestrani, inteligentni;25,4;30,48;4,08;7,71;12;15;Povremeno kupanje i četkanje;Seasonal;Energetičan;Lak za treniranje;Prijateljsko;
158;Laponski ovčar;Lapponian Herder;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Berger_Finnois_De_Laponie.jpg/640px-Berger_Finnois_De_Laponie.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Lapponian_Herder_3.jpg/640px-Lapponian_Herder_3.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Lapskvallhund.jpg/640px-Lapskvallhund.jpg;Foundation Stock Service;"Laponski ovčar je neovisna i zabavna pasmina. 
Vrlo su inteligentni i općenito željni ugoditi. 
Kao energična pastirska pasmina, izvrsni su u mnogim drugim psećim sportovima osim pastirstva, poput događaja za društvo. Njihova ljubav prema napornom radu čini ih divnom pasminom u svakom natjecateljskom i zabavnom događaju. 
Rana socijalizacija važna je zbog njihovog pastirskog mentaliteta i napreduju kada imaju posao koji trebaju obaviti. 
Iako su željni ugoditi, laponski ovčar je vrlo glasan i često laje dok radi. 
Laponski ovčar je pas srednje veličine sa srednje gustom dlakom, što ga čini lakim za održavanje i savršenim za svakog iskusnog vlasnika psa. 
Oni su divna, zaokružena, raznolika pasmina pasa spremna riješiti bilo koji zadatak koji im se da. 
Mogu se uklopiti u većinu životnih okruženja sve dok im se daju poslovi. 
Ova pasmina dolazi u mnogim bojama, uključujući sivosmeđu, crnu, često sa svjetlijom poddlakom, te bijele ili žutosmeđe oznake. 
Povučeni su sa strancima, ali vole svoje ljude.";Prijateljski nastrojeni, energični, inteligentni;45,72;50,8;30;31,75;10;14;Tjedno četkanje;Seasonal;Redovito vježbanje;Željan udovoljiti;Rezerviran s nepoznatima;
159;Leonberger;Leonberger;https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Leonberger_male.jpg/640px-Leonberger_male.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Leonberger_Norway.JPG/640px-Leonberger_Norway.JPG;https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Leonberger_josefine_3months.jpg/640px-Leonberger_josefine_3months.jpg;Working group;"Ogroman i snažan pas, da, ali leonberger je također poznat po svojoj aristokratskoj gracioznosti i eleganciji. 
Mužjak može biti visok preko 75 cm u ramenima i težiti kao odrastao čovjek. Ženke su manje, ali su i dalje pravi pas. 
Obilježja pasmine uključuju srednje dugu vodootpornu dlaku, bujne trokutaste uši, gusti rep i crnu masku za lice koja uokviruje ljubazne tamnosmeđe oči. Dramatična značajka mužjakove dlake je lavlja griva oko vrata i prsa. 
Dobro građen lav kreće se laganim, elastičnim hodom. Leonberger je prijateljski nastrojen, ali nitko nije budala. Kao psi čuvari i svestrani radnici, pokazuju inteligenciju i zdrav razum. 
Leonbergerima je potrebno puno četkanja, dovoljno prostora za igru ​​i neograničena ljubav. 
Leonberger je div bujne dlake njemačkog podrijetla. Imaju blagu narav i spokojno strpljenje te uživaju u druženju cijele obitelji.";Prijateljski, nježan, razigran;64,77;80,01;40,82;77,11;9;9;Dnevno četkanje;Regularly;Redovito vježbanje;Željan udovoljiti;Prijateljsko;
